customer_id,gender,senior_citizen,partner,dependents,tenure_months,contract_type,payment_method,monthly_charges,total_charges,internet_service,online_security,tech_support,paperless_billing,streaming_tv,streaming_movies,multiple_lines,avg_monthly_usage_gb,support_tickets_last_6m,late_payments_last_year,autopay_enabled,billing_cycle,region,churn
C006,Male,0,Yes,No,24,One year,Credit card,70.34,1688.16,Fiber optic,Yes,,Yes,Yes,Yes,Yes,144.69,2,0,Yes,Monthly,North,0
C002,Male,0,No,No,1,Month-to-month,Mailed check,92.24,92.24,Fiber optic,,No,Yes,No,Yes,Yes,192.62,5,2,No,Monthly,North,1
C001,Female,0,Yes,No,17,Month-to-month,Electronic check,73.94,1256.98,Fiber optic,No,No,Yes,Yes,Yes,No,146.43,1,0,No,Monthly,South,1
C006,Male,0,Yes,No,25,One year,Credit card,45.38,1134.5,Fiber optic,Yes,,Yes,Yes,Yes,Yes,201.24,2,1,Yes,Monthly,North,0
C012,Male,0,Yes,Yes,84,Two year,Bank transfer,41.5,3486.0,DSL,Yes,Yes,No,Yes,Yes,Yes,26.23,0,1,Yes,Quarterly,East,0
C012,Male,0,Yes,Yes,90,Two year,Bank transfer,45.7,4113.0,DSL,Yes,Yes,No,Yes,Yes,Yes,23.74,0,0,Yes,Quarterly,East,0
C005,Female,0,Yes,Yes,74,Two year,Bank transfer,40.19,2974.06,DSL,Yes,Yes,No,Yes,Yes,Yes,51.75,1,1,Yes,Quarterly,West,0
C003,Female,0,Yes,Yes,49,One year,Credit card,51.72,2534.28,DSL,Yes,,No,Yes,No,Yes,80.72,0,1,Yes,Quarterly,East,0
C012,Male,0,Yes,Yes,80,Two year,Bank transfer,46.44,3715.2,DSL,Yes,Yes,No,Yes,Yes,Yes,55.65,2,0,Yes,Quarterly,East,0
C014,Male,1,No,No,1,Month-to-month,Mailed check,79.76,79.76,Fiber optic,No,No,Yes,No,Yes,No,267.38,6,3,No,Monthly,North,1
C006,Male,0,Yes,No,18,One year,Credit card,71.98,1295.64,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,144.07,0,0,Yes,Monthly,North,0
C006,Male,0,Yes,No,22,One year,Credit card,61.83,1360.26,Fiber optic,Yes,,Yes,Yes,Yes,Yes,186.52,1,0,Yes,Monthly,North,0
C001,Female,0,Yes,No,12,Month-to-month,Electronic check,71.52,858.24,Fiber optic,No,No,Yes,Yes,Yes,No,102.72,4,0,No,Monthly,South,0
C010,Male,0,Yes,Yes,41,One year,Credit card,43.53,1784.73,DSL,,Yes,No,Yes,No,Yes,78.6,0,0,Yes,Monthly,North,0
C008,Male,0,Yes,Yes,55,Two year,Bank transfer,58.27,3204.85,DSL,Yes,Yes,No,Yes,Yes,Yes,17.64,0,1,Yes,Quarterly,South,0
C011,Female,0,No,No,6,Month-to-month,Electronic check,109.08,654.48,Fiber optic,No,No,Yes,No,Yes,No,329.7,4,6,No,Monthly,South,0
C006,Male,0,Yes,No,23,One year,Credit card,49.47,1137.81,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,193.48,3,0,Yes,Monthly,North,0
C005,Female,0,Yes,Yes,69,Two year,Bank transfer,55.81,3850.89,DSL,Yes,,No,Yes,Yes,Yes,74.42,0,1,Yes,Quarterly,West,0
C006,Male,0,Yes,No,29,One year,Credit card,58.4,1693.6,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,186.84,2,0,Yes,Monthly,North,0
C015,Female,0,Yes,Yes,92,Two year,Bank transfer,31.32,2881.44,DSL,Yes,Yes,No,Yes,Yes,Yes,102.67,1,0,Yes,Quarterly,South,0
C010,Male,0,Yes,Yes,35,One year,Credit card,58.25,2038.75,DSL,Yes,,No,Yes,No,Yes,56.03,3,0,Yes,Monthly,North,0
C004,Male,1,No,No,8,Month-to-month,Electronic check,86.52,692.16,Fiber optic,No,No,Yes,No,Yes,No,274.63,2,2,No,Monthly,South,1
C015,Female,0,Yes,Yes,97,Two year,Bank transfer,45.73,4435.81,DSL,Yes,Yes,No,Yes,Yes,Yes,88.68,0,1,Yes,Quarterly,South,0
C015,Female,0,Yes,Yes,97,Two year,Bank transfer,45.73,4435.81,DSL,Yes,Yes,No,Yes,Yes,Yes,88.68,0,1,Yes,Quarterly,South,0
C015,Female,0,Yes,Yes,92,Two year,Bank transfer,27.85,,DSL,Yes,Yes,No,Yes,Yes,Yes,83.61,0,0,Yes,Quarterly,South,0
C008,Male,0,Yes,Yes,64,Two year,Bank transfer,45.36,2903.04,DSL,Yes,Yes,No,Yes,Yes,Yes,126.83,0,0,Yes,Quarterly,South,0
C010,Male,0,Yes,Yes,37,One year,Credit card,64.9,2401.3,DSL,Yes,Yes,No,Yes,No,Yes,91.86,1,1,Yes,Monthly,North,0
C012,Male,0,Yes,Yes,81,Two year,Bank transfer,41.67,3375.27,DSL,Yes,Yes,No,Yes,Yes,Yes,41.23,0,1,Yes,Quarterly,East,0
C003,Female,0,Yes,Yes,54,One year,Credit card,62.55,3377.7,DSL,Yes,Yes,No,Yes,No,Yes,81.29,0,1,Yes,Quarterly,East,0
C013,Female,0,Yes,No,17,One year,Credit card,55.85,949.45,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,170.13,2,1,Yes,Monthly,West,0
C009,Female,1,No,No,7,Month-to-month,Mailed check,93.06,651.42,Fiber optic,No,,Yes,No,No,No,237.09,4,1,No,Monthly,West,1
C014,Male,1,No,No,6,Month-to-month,Mailed check,92.48,,Fiber optic,No,No,Yes,No,Yes,No,299.8,4,4,No,Monthly,North,1
C013,Female,0,Yes,No,19,One year,Credit card,56.44,1072.36,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,152.99,1,0,Yes,Monthly,West,0
C012,Male,0,Yes,Yes,90,Two year,Bank transfer,45.7,4113.0,DSL,Yes,Yes,No,Yes,Yes,Yes,23.74,0,0,Yes,Quarterly,East,0
C010,Male,0,Yes,Yes,30,One year,Credit card,79.05,2371.5,DSL,Yes,Yes,No,Yes,No,Yes,107.97,0,0,Yes,Monthly,North,0
C015,Female,0,Yes,Yes,95,Two year,Bank transfer,39.21,3724.95,DSL,Yes,Yes,No,Yes,Yes,Yes,72.31,2,1,Yes,Quarterly,South,0
C008,Male,0,Yes,Yes,58,Two year,Bank transfer,34.99,2029.42,DSL,Yes,Yes,No,Yes,Yes,Yes,98.7,0,0,Yes,Quarterly,South,0
C010,Male,0,Yes,Yes,33,One year,Credit card,61.37,2025.21,DSL,Yes,Yes,No,Yes,No,Yes,94.62,3,0,Yes,Monthly,North,0
C015,Female,0,Yes,Yes,94,Two year,Bank transfer,45.76,4301.44,DSL,Yes,Yes,No,Yes,Yes,Yes,18.28,2,0,Yes,Quarterly,South,0
C006,Male,0,Yes,No,23,One year,Credit card,49.47,1137.81,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,193.48,3,0,Yes,Monthly,North,0
C009,Female,1,No,No,12,Month-to-month,Mailed check,70.76,849.12,Fiber optic,No,No,Yes,No,No,No,181.21,3,1,No,Monthly,West,0
C012,Male,0,Yes,Yes,80,Two year,Bank transfer,46.44,3715.2,DSL,Yes,Yes,No,Yes,Yes,Yes,55.65,2,0,Yes,Quarterly,East,0
C004,Male,1,No,No,2,Month-to-month,Electronic check,108.65,217.3,Fiber optic,No,No,Yes,No,Yes,No,275.81,4,2,No,Monthly,South,1
C011,Female,0,No,No,1,Month-to-month,Electronic check,107.62,107.62,Fiber optic,No,No,Yes,No,Yes,No,273.51,8,6,No,Monthly,South,1
C003,Female,0,Yes,Yes,48,One year,Credit card,58.02,2784.96,DSL,Yes,Yes,No,Yes,No,Yes,93.98,2,1,Yes,Quarterly,East,0
