customer_id,age,gender,location,tenure,monthly_charges,total_charges,balance,num_products,engagement_score,contract_type
CUST2000,49,Female,Urban,65,66.02,4291.3,289.73,2,0.58,One year
CUST2001,18,Female,Suburban,61,111.53,6803.33,1557.21,3,0.72,Two year
CUST2002,44,Female,Urban,47,63.65,2991.55,104.63,3,0.96,Month-to-month
CUST2003,50,Male,Urban,22,36.28,798.16,1548.83,3,0.83,Two year
CUST2004,42,Female,Suburban,45,81.32,3659.4,4835.73,4,0.51,One year
CUST2005,50,Male,Urban,7,82.65,578.55,1211.54,1,0.14,One year
CUST2006,38,Female,Rural,27,110.5,2983.5,2160.39,1,0.99,One year
CUST2007,63,Female,Suburban,61,107.6,6563.6,889.68,5,0.86,Two year
CUST2008,21,Female,Urban,59,73.06,4310.54,1266.24,3,0.38,Two year
CUST2009,61,Female,Rural,69,112.56,7766.64,1051.85,5,0.28,One year
CUST2010,70,Male,Urban,30,56.57,1697.1,4677.91,5,0.0,Two year
CUST2011,19,Female,Suburban,71,36.02,2557.42,1941.72,4,0.43,One year
CUST2012,26,Male,Rural,47,33.69,1583.43,1764.68,1,0.32,Month-to-month
CUST2013,65,Female,Rural,14,71.56,1001.84,2018.85,5,0.74,Two year
CUST2014,58,Female,Urban,32,72.47,2319.04,1926.13,5,0.62,Month-to-month
CUST2015,21,Male,Rural,43,84.4,3629.2,2485.35,4,0.39,One year
CUST2016,24,Male,Rural,55,86.4,4752.0,3365.34,4,0.8,Two year
CUST2017,55,Female,Urban,38,87.93,3341.34,424.72,3,0.1,One year
CUST2018,37,Female,Suburban,29,114.13,3309.77,847.2,3,0.65,Month-to-month
CUST2019,60,Male,Rural,57,63.72,3632.04,2017.48,3,0.78,Two year
CUST2020,26,Male,Suburban,37,41.06,1519.22,3518.01,4,0.08,Month-to-month
CUST2021,68,Male,Suburban,47,32.45,1525.15,2274.89,2,0.51,Two year
CUST2022,28,Female,Rural,29,55.29,1603.41,2762.99,4,0.22,Month-to-month
CUST2023,35,Female,Rural,21,55.13,1157.73,4946.89,2,0.75,Two year
CUST2024,38,Male,Suburban,59,58.78,3468.02,2568.06,3,0.65,One year
CUST2025,29,Female,Urban,2,77.08,154.16,1911.6,4,0.99,One year
CUST2026,57,Female,Rural,37,51.86,1918.82,2451.81,5,0.39,Two year
CUST2027,44,Male,Suburban,20,79.15,1583.0,4557.74,3,0.67,Two year
CUST2028,34,Female,Rural,38,53.4,2029.2,2822.82,4,0.22,One year
CUST2029,27,Male,Urban,13,64.99,844.87,605.01,2,0.26,One year
CUST2030,38,Male,Rural,42,60.54,2542.68,2352.98,2,0.06,Month-to-month
CUST2031,40,Male,Suburban,5,54.06,270.3,1177.34,2,0.08,One year
CUST2032,30,Female,Urban,4,118.41,473.64,94.9,5,0.73,Month-to-month
CUST2033,67,Male,Suburban,5,96.61,483.05,4279.52,4,0.77,Two year
CUST2034,44,Male,Rural,55,101.2,5566.0,338.23,3,0.12,Two year
CUST2035,65,Female,Urban,3,98.92,296.76,4291.59,2,0.94,Month-to-month
CUST2036,19,Male,Rural,69,77.85,5371.65,1136.95,2,0.27,Month-to-month
CUST2037,34,Male,Suburban,48,75.71,3634.08,1524.49,4,0.9,One year
CUST2038,21,Female,Suburban,31,106.98,3316.38,1450.27,2,0.63,Two year
CUST2039,34,Female,Suburban,34,78.03,2653.02,4250.13,4,0.19,Month-to-month
CUST2040,39,Female,Rural,6,66.37,398.22,3010.68,3,0.57,One year
CUST2041,21,Male,Rural,60,118.58,7114.8,1603.82,5,0.09,Two year
CUST2042,50,Female,Urban,17,119.4,2029.8,753.9,4,0.85,Two year
CUST2043,56,Female,Suburban,4,80.17,320.68,1670.34,4,0.56,Two year
CUST2044,38,Female,Rural,69,28.55,1969.95,263.99,2,0.11,Two year
